army	Sneathiella
black	alpha_proteobacterium_BAL199
black	alpha_proteobacterium_HIMB59
black	alpha_proteobacterium_JLT2015
black	alpha_proteobacterium_Mf_1.05b.01
black	alpha_proteobacterium_Q-1
black	alpha_proteobacterium_RS24
black	alpha_proteobacterium_SCGC_AAA028-D10
black	alpha_proteobacterium_SCGC_AAA536-K22
black	alpha_proteobacterium_SCGC_AB-629-F11
black	Candidatus_Puniceispirillum_
black	Geminicoccus
black	Micavibrio
black	N20
black	O14
black	Polymorphum
blue	Magnetococcus
blue	MAYU
brown	Bradyrhizobium
brown	Brucella
brown	Hyphomicrobium
brown	Meganema
brown	Methyloceanibacter
brown	Parvibaculum
brown	Sinorhizobium
brown	Xanthobacter
green	Erythrobacter
green	Sphingobium
green	Sphingopyxis
green	Zymomonas
grey	Chromobacterium
grey	Dechloromonas
grey	Escherichia
grey	Francisella
grey	Legionella
grey	Nitrosomonas
grey	Pseudomonas
grey	Ralstonia
orange	Anaplasma
orange	Candidatus_Caedibacter
orange	Candidatus_Midichloria
orange	Candidatus_Neoehrlichia
orange	Candidatus_Paracaedibacter
orange	Candidatus_Paracaedibacter
orange	Candidatus_Xenolissoclinum
orange	Ehrlichia
orange	endosymbiont_of_Acanthamoeba_sp._UWC8
orange	FS5
orange	HEPA
orange	Hepatobacter
orange	Holospora
orange	Neorickettsia
orange	Nucleicultrix
orange	Orientia
orange	Rickettsiaceae
orange	Rickettsiales
orange	Rickettsia
orange	Wolbachia
pink	Acetobacter
pink	Acidiphilium
pink	Candidatus_Endolissoclinum
pink	Elioraea
pink	Gluconacetobacter
pink	Magnetospirillum
pink	Rhodospirillum
pink	Rhodospirillum
pink	Roseomonas
pink	Thalassospira
pink	Tistrella
purple	alpha_proteobacterium_HIMB5
purple	Candidatus_Pelagibacter
red	Hyphomonas
red	Maricaulis
red	Paracoccus
red	Pseudovibrio
red	Rhodobacter
red	Roseobacter
red	Ruegeria
sky	Asticcacaulis
sky	Brevundimonas
sky	Caulobacter
storm	Kordiimonas
teal	Kiloniella
lind	2750m
lind	5000m
